CAS,Name_CN,Name,SMILES
57-55-6,"1,2-丙二醇","1,2-Propanediol",CC(O)CO
470-82-6,"1,8-胺叶素","1,8-Cineole",C[C@]12CC[C@H](CC1)C(C)(C)O2
116-53-0,2-甲基丁酸,2-Methylbutyric acid,CCC(C)C(O)=O
620-02-0,5-甲基糠醛,5-Methylfurfural,[H]C(=O)c1ccc(C)o1
140-11-4,乙酸苄酯,Benzyl acetate,CC(=O)OCc1ccccc1
488-10-8,顺式茉莉酮,cis-Jasmone,[H]\C(CC)=C(/[H])CC1=C(C)CCC1=O
5392-40-5,柠檬醛,Citral,[H]C(=O)C=C(C)CC\C=C(\C)C
106-23-0,香茅醛,Citronellal,CC(CC\C=C(\C)C)CC=O
97-53-0,丁香酚,Eugenol,COc1cc(CC=C)ccc1O
98-00-0,糠醇,Furfuryl alcohol,OCc1ccco1
106-24-1,香叶醇,Geraniol,C\C(C)=C\CC\C(C)=C\CO
123-92-2,乙酸异戊酯,Isopentyl acetate,CC(C)CCOC(C)=O
503-74-2,异戊酸,Isovaleric acid,CC(C)CC(O)=O
50-21-5,乳酸,Lactic acid,CC(O)C(O)=O
3681-71-8,乙酸叶醇酯,Leaf acetate,[H]\C(CC)=C(/[H])CCOC(C)=O
928-96-1,叶醇,Leaf alcohol,CC\C=C/CCO
115-95-7,乙酸芳樟酯,Linalyl acetate,C\C(C)=C\CCC(C)(OC(C)=O)C=C
14073-97-3,L-薄荷酮,L-Menthone,CC(C)[C@@H]1CC[C@@H](C)CC1=O
93-15-2,丁香酚甲醚,Methyl eugenol,COc1ccc(CC=C)cc1OC
7212-44-4,橙花叔醇,Nerolidol,C\C(C)=C/CC\C(C)=C\CCC(C)(O)C=C
110-93-0,6-甲基-5-庚烯-2-酮,Sulcatone,C\C(C)=C\CCC(C)=O
14901-07-6,β-紫罗兰酮,β-Ionone,CC(=O)\C=C\C1=C(C)CCCC1(C)C
706-14-9,γ-癸内酯,γ-Decalactone,CCCCCCC1CCC(=O)O1
104-61-0,γ-壬内酯,γ-Nonanoic lactone,CCCCCC1CCC(=O)O1
